date,day_index,new_blocks_total,new_blocks_atom,new_blocks_photon,new_blocks_spin,cumulative_blocks,daily_workloads,cumulative_workloads,workloads_new_blocks,workloads_older_blocks,perc_new_workloads,perc_old_workloads,cumulative_workloads_new,cumulative_workloads_old,acquisition_cost,lease_fee_cost,workload_trigger_cost,workload_execution_cost,total_daily_cost,cost_per_workload
2023-01-01,1,8270,2793,2751,2726,8270,45033093,45033093,45033093,0,1.0,0.0,45033093,0,1654.0,326301.6,450330.93,3902868.06,4681154.59,0.10394921330409172
2023-01-02,2,2189,724,763,702,10459,1426941,46460034,849883,577058,0.5955978558328621,0.40440214416713793,45882976,577058,437.8,86335.2,14269.41,123668.22,224710.63,0.1574771696937715
2023-01-03,3,8413,2843,2770,2800,18872,32467060,78927094,16754121,15712939,0.5160344361331146,0.4839655638668854,62637097,16289997,1682.6000000000001,331296.0,324670.60000000003,2813811.8666666667,3471461.0666666664,0.10692255679037974
2023-01-04,4,5862,1931,2006,1925,24734,11745355,90672449,6122056,5623299,0.521232095581615,0.47876790441838496,68759153,21913296,1172.4,229728.0,117453.55,1017930.7666666667,1366284.7166666668,0.1163255360665273
2023-01-05,5,5374,1769,1768,1837,30108,36768761,127441210,20580257,16188504,0.5597212535935057,0.44027874640649434,89339410,38101800,1074.8,208651.2,367687.61,3186625.9533333336,3764039.5633333335,0.10237058472906752
2023-01-06,6,6688,2322,2143,2223,36796,48503093,175944303,26243637,22259456,0.5410714116726535,0.45892858832734645,115583047,60361256,1337.6000000000001,265672.8,485030.93,4203601.393333334,4955642.723333334,0.10217168466624044
2023-01-07,7,5361,1766,1785,1810,42157,1608903,177553206,904350,704553,0.5620910645327903,0.43790893546720966,116487397,61065809,1072.2,208788.0,16089.03,139438.26,365387.49,0.227103492255282
2023-01-08,8,3052,1010,1020,1022,45209,14775487,192328693,8560858,6214629,0.5793959955431588,0.42060400445684126,125048255,67280438,610.4,119251.2,147754.87,1280542.2066666668,1548158.6766666668,0.10477885951689218
2023-01-09,9,4269,1387,1480,1402,49478,19531997,211860690,11593061,7938936,0.5935420223543962,0.40645797764560376,136641316,75219374,853.8000000000001,166603.2,195319.97,1692773.0733333335,2055550.0433333335,0.10524013716228471
2023-01-10,10,9263,3055,3147,3061,58741,4830298,216690988,2801691,2028607,0.5800244622588503,0.4199755377411497,139443007,77247981,1852.6000000000001,362637.6,48302.98,418625.82666666666,831419.0066666666,0.1721258205325358
2023-01-11,11,2894,945,952,997,61635,41143586,257834574,22679461,18464125,0.5512271341637552,0.4487728658362448,162122468,95712106,578.8000000000001,111883.2,411435.86,3565777.4533333336,4089675.3133333335,0.09940006963256275
2023-01-12,12,3112,1062,1039,1011,64747,43048325,300882899,25819694,17228631,0.5997839404901352,0.4002160595098648,187942162,112940737,622.4000000000001,123573.6,430483.25,3730854.8333333335,4285534.083333334,0.09955170342477515
2023-01-13,13,8203,2778,2740,2685,72950,29130756,330013655,14641489,14489267,0.5026127368613433,0.4973872631386566,202583651,127430004,1640.6000000000001,324432.0,291307.56,2524665.52,3142045.6799999997,0.107860080253324
2023-01-14,14,8652,2881,2929,2842,81602,8132476,338146131,4275594,3856882,0.5257432053903387,0.4742567946096613,206859245,131286886,1730.4,340159.2,81324.76,704814.5866666667,1128028.9466666668,0.13870670465755655
2023-01-15,15,1766,586,596,584,83368,13312779,351458910,7303636,6009143,0.5486184364661953,0.4513815635338046,214162881,137296029,353.20000000000005,69254.4,133127.79,1153774.18,1356509.5699999998,0.10189529699246114
2023-01-16,16,7773,2576,2613,2584,91141,24685452,376144362,12980027,11705425,0.5258168657393837,0.4741831342606163,227142908,149001454,1554.6000000000001,304346.4,246854.52000000002,2139405.84,2692161.36,0.10905862124785075
2023-01-17,17,9689,3278,3241,3170,100830,40003294,416147656,21859171,18144123,0.5464342761373601,0.45356572386263994,249002079,167145577,1937.8000000000002,383124.0,400032.94,3466952.146666667,4252046.886666667,0.10629241898596317
2023-01-18,18,9598,3235,3144,3219,110428,35138865,451286521,19441853,15697012,0.5532863113250812,0.4467136886749188,268443932,182842589,1919.6000000000001,377006.4,351388.65,3045368.3000000003,3775682.95,0.10745033881999319
2023-01-19,19,1771,595,590,586,112199,43723235,495009756,23339557,20383678,0.533802153477436,0.466197846522564,291783489,203226267,354.20000000000005,69705.6,437232.35000000003,3789347.0333333337,4296639.183333334,0.09826901379400069
2023-01-20,20,7478,2518,2501,2459,119677,40538033,535547789,20881102,19656931,0.5150990429160685,0.48490095708393155,312664591,222883198,1495.6000000000001,294938.4,405380.33,3513296.1933333334,4215110.523333333,0.10397915763039942
2023-01-21,21,9541,3159,3195,3187,129218,48920160,584467949,27366850,21553310,0.5594186527599255,0.4405813472400744,340031441,244436508,1908.2,373063.2,489201.60000000003,4239747.2,5103920.2,0.10433163342065929
2023-01-22,22,9035,3012,2996,3027,138253,28228666,612696615,15637356,12591310,0.5539530631734422,0.44604693682655777,355668797,257027818,1807.0,353779.2,282286.66000000003,2446484.3866666667,3084357.246666667,0.10926330159089583
2023-01-23,23,3475,1194,1134,1147,141728,40278107,652974722,22874908,17403199,0.5679241082506683,0.4320758917493317,378543705,274431017,695.0,137803.2,402781.07,3490769.2733333334,4032048.5433333335,0.1001052145606876
2023-01-24,24,3547,1194,1159,1194,145275,2855135,655829857,1525727,1329408,0.5343799855348346,0.4656200144651654,380069432,275760425,709.4000000000001,139154.4,28551.350000000002,247445.03333333335,415860.18333333335,0.1456534221090538
2023-01-25,25,8555,2855,2853,2847,153830,49083676,704913533,28870655,20213021,0.5881925999185554,0.4118074000814446,408940087,295973446,1711.0,335599.2,490836.76,4253918.586666667,5082065.546666667,0.10353881291748945
2023-01-26,26,9301,3025,3143,3133,163131,38991288,743904821,20639673,18351615,0.5293406311686857,0.4706593688313143,429579760,314325061,1860.2,361024.8,389912.88,3379244.96,4132042.84,0.10597348925739514
2023-01-27,27,3560,1236,1205,1119,166691,33407990,777312811,16938386,16469604,0.5070160162284532,0.49298398377154684,446518146,330794665,712.0,143114.4,334079.9,2895359.1333333333,3373265.4333333336,0.10097181642275796
2023-01-28,28,1377,462,477,438,168068,48726805,826039616,27756524,20970281,0.5696356245807621,0.43036437541923794,474274670,351764946,275.40000000000003,54640.8,487268.05,4222989.766666667,4765174.016666667,0.09779368905198416
2023-01-29,29,6789,2280,2215,2294,174857,11615151,837654767,6559447,5055704,0.5647319608673189,0.4352680391326811,480834117,356820650,1357.8000000000002,265922.4,116151.51000000001,1006646.42,1390078.1300000001,0.11967800762986208
2023-01-30,30,4228,1426,1426,1376,179085,26906331,864561098,14531901,12374430,0.5400922556107706,0.45990774438922943,495366018,369195080,845.6,167217.6,269063.31,2331882.02,2769008.5300000003,0.10291289919833367
2023-01-31,31,4716,1578,1565,1573,183801,22543218,887104316,12476346,10066872,0.5534412167774805,0.4465587832225195,507842364,379261952,943.2,185056.8,225432.18,1953745.56,2365177.74,0.1049174851611691
2023-02-01,32,9997,3345,3329,3323,193798,18470386,905574702,9320338,9150048,0.5046098116195298,0.4953901883804702,517162702,388412000,1999.4,392584.8,184703.86000000002,1600766.7866666666,2180054.8466666667,0.11802973942540598
2023-02-02,33,2289,788,775,726,196087,35896037,941470739,20994522,14901515,0.5848701905449897,0.4151298094550103,538157224,403313515,457.8,91605.6,358960.37,3110989.8733333335,3562013.6433333335,0.09923138989781333
2023-02-03,34,5170,1712,1748,1710,201257,22844961,964315700,12754735,10090226,0.5583172148991631,0.4416827851008369,550911959,413403741,1034.0,202608.0,228449.61000000002,1979896.62,2411988.23,0.10558075498574937
